Variety	Field I PCo1	Field I shannon_e	Field I Tiller	Field II PCo1	Field II shannon_e	Field II Tiller
R4160	-0.259987143716472	3.74166666666667	18.17	-0.128016138948558	4.78833333333333	41.5
S4161	0.0423956166472911	5.14	15.17	0.0586017429992437	5.92333333333333	30.33
S4162	-0.0515457800179642	4.98333333333333	22.33	-0.0571185726702508	5.305	36.5
S4163	-0.00541249036949199	4.58833333333333	17.5	0.0482381557668605	5.02666666666667	33.5
S4165	0.160449761310427	5.58666666666667	15.83	0.151133787990081	5.315	25.83
S4166	0.115118014490265	5.535	22.33	0.138651687411632	5.70166666666667	43.83
S4167	-0.0207239415120416	4.94166666666667	9.17	-0.0198476653401267	5.30333333333333	15.5
S4168	0.138596181127825	5.665	15.83	0.0908111840661275	5.71666666666667	31.83
S4169	-0.0105580946189854	4.88	13.5	-0.156100209526896	5.03	22.17
S4170	-0.174152638351826	4.32	14.33	-0.179149899527807	4.72166666666667	32.5
T4171	-0.0754610770958338	4.77333333333333	17.67	0.144444396355759	5.74666666666667	38.33
T4172	0.109251152352941	5.435	14.67	0.0817173691877531	5.42666666666667	21.5
T4173	-0.0994832971324448	4.59	15.5	0.0650063702012148	5.725	29.17
T4174	0.123931865187229	5.185	15	-0.0716970136108319	5.07	27.33
T4175	-0.163843455904795	4.125	17.67	-0.0578187676357375	5.20666666666667	28.33
T4176	-0.123676474531969	4.355	15.5	-0.0434026481862603	5.43666666666667	32.67
T4177	-0.299400077009286	3.575	8.83	-0.206154789734091	4.49333333333333	20.67
T4178	-0.00239124200185377	5.44666666666667	28	0.151442259657353	5.75	39.83
W4193	-0.0321327228583897	5.17333333333333	12.33	-0.102055413435167	5.01	21
W4194	0.0567700645601787	5.26333333333333	13.83	-0.147494891552623	5.17	21.17
W4195	-0.0426901634706959	4.87	15.5	0.248911833938706	6.12	28.33
W4196	-0.0950883714363059	4.56	12.67	0.157198092804149	5.62666666666667	24.67
W4197	-0.219312633777621	4.03166666666667	10.83	0.0343391540918343	5.61833333333333	17.67
W4198	-0.287526413503618	3.72666666666667	9.83	-0.178101805465838	4.93333333333333	19.17
W4199	-0.192691661194318	4.28333333333333	11	-0.0602930711625842	5.855	24.67
W4200	0.203600577271451	5.58833333333333	25.33	0.188235116715503	5.61166666666667	41.17
X4203	0.215185129374501	5.625	33.67	0.0885670723519553	5.61333333333333	38
X4204	-0.102835246435149	4.82333333333333	18.83	0.10637204349996	5.63833333333333	43.33
X4205	-0.0362840470566225	4.78833333333333	14.17	-0.0869014073050182	4.745	16.33
X4206	0.00859961590458744	5.10666666666667	7.5	0.0282496795754888	5.506	19.4
X4207	0.0906109697339234	5.21	23.17	-0.0384817390326322	5.035	39.83
X4209	-0.0753098847664083	4.03166666666667	5.17	-0.206181252511173	4.545	17.67
X4210	-0.0251597006446181	5.13666666666667	19.67	0.179549516386847	6.18333333333333	39
Y4211	-0.192240618177949	4.50333333333333	7.5	0.0179928829439142	5.20666666666667	15
Y4212	-0.180026305675561	3.89833333333333	7.67	-0.190841900163959	4.66333333333333	26
Y4213	-0.152402507382549	4.05	11.17	-0.239506017832646	4.43166666666667	21.5
Y4215	0.00766039079469911	5.14833333333333	18.17	0.103717403143081	5.34	36.33
Y4216	-0.0877491105331446	4.88333333333333	11.5	-0.0764738022827201	5.36	32.17
Y4217	-0.0053286484379699	4.95666666666667	13.83	-0.0216247759277711	5.48	36
